category,subCategory,eventID,level,channel,provider,description,availableSettings/0,availableSettings/1,gpoSettings,documentation,volume/DomainController,volume/Server,volume/Workstation,microsoftBaseline/DomainController,microsoftBaseline/Server,microsoftBaseline/Workstation,securityMonitoringRecommandation,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5
Account Management,Audit Distribution Group Management,4744,Information,Security,Microsoft-Windows-Security-Auditing,A security-disabled local group was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4749,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4745,Information,Security,Microsoft-Windows-Security-Auditing,A security-disabled local group was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4750,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4746,Information,Security,Microsoft-Windows-Security-Auditing,A member was added to a security-disabled local group,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4751,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4747,Information,Security,Microsoft-Windows-Security-Auditing,A member was removed from a security-disabled local group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4752,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4748,Information,Security,Microsoft-Windows-Security-Auditing,A security-disabled local group was deleted. ,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4753,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4749,Information,Security,Microsoft-Windows-Security-Auditing,A security-disabled global group was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4749,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4750,Information,Security,Microsoft-Windows-Security-Auditing,A security-disabled global group was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4750,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4751,Information,Security,Microsoft-Windows-Security-Auditing,A member was added to a security-disabled global group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4751,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4752,Information,Security,Microsoft-Windows-Security-Auditing,A member was removed from a security-disabled global group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4752,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4753,Information,Security,Microsoft-Windows-Security-Auditing,A security-disabled global group was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4753,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4759,Information,Security,Microsoft-Windows-Security-Auditing,A security-disabled universal group was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4749,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4760,Information,Security,Microsoft-Windows-Security-Auditing,A security-disabled universal group was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4750,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4761,Information,Security,Microsoft-Windows-Security-Auditing,A member was added to a security-disabled universal group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4751,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4762,Information,Security,Microsoft-Windows-Security-Auditing,A member was removed from a security-disabled universal group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4752,Low,,,Success,,,Yes,SRV-ETM,,,,,
Account Management,Audit Distribution Group Management,4763,Information,Security,Microsoft-Windows-Security-Auditing,A security-disabled universal group was deleted. ,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Distribution Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4753,Low,,,Success,,,Yes,,,,,,
Account Management,Audit Other Account Management Events,4782,Information,Security,Microsoft-Windows-Security-Auditing,The password hash of an account was accessed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Other Account Management Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4782,High,Low,Low,Success,,,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Account Management,Audit Other Account Management Events,4783,Information,Security,Microsoft-Windows-Security-Auditing,The Password Policy Checking API was called.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Other Account Management Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4783,High,Low,Low,Success,,,Yes,JSCU-NL,SRV-ETM,,,,
Account Management,Audit Security Group Management,4727,Information,Security,Microsoft-Windows-Security-Auditing,A security-enabled global group was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4731,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit Security Group Management,4728,Information,Security,Microsoft-Windows-Security-Auditing,A member was added to a security-enabled global group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4732,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,ANSSI,
Account Management,Audit Security Group Management,4729,Information,Security,Microsoft-Windows-Security-Auditing,A member was removed from a security-enabled global group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4733,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit Security Group Management,4730,Information,Security,Microsoft-Windows-Security-Auditing,A security-enabled global group was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4734,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Account Management,Audit Security Group Management,4731,Information,Security,Microsoft-Windows-Security-Auditing,A security-enabled local group was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4731,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,
Account Management,Audit Security Group Management,4732,Information,Security,Microsoft-Windows-Security-Auditing,A member was added to a security-enabled local group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4732,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,ANSSI
Account Management,Audit Security Group Management,4733,Information,Security,Microsoft-Windows-Security-Auditing,A member was removed from a security-enabled local group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4733,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,
Account Management,Audit Security Group Management,4734,Information,Security,Microsoft-Windows-Security-Auditing,A security-enabled local group was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4734,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,MDE,YAMATO,,
Account Management,Audit Security Group Management,4735,Information,Security,Microsoft-Windows-Security-Auditing,A security-enabled local group was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4735,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,,,
Account Management,Audit Security Group Management,4737,Information,Security,Microsoft-Windows-Security-Auditing,A security-enabled global group was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4735,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit Security Group Management,4754,Information,Security,Microsoft-Windows-Security-Auditing,A security-enabled universal group was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4731,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit Security Group Management,4755,Information,Security,Microsoft-Windows-Security-Auditing,A security-enabled universal group was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4735,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit Security Group Management,4756,Information,Security,Microsoft-Windows-Security-Auditing,A member was added to a security-enabled universal group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4732,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,ANSSI,
Account Management,Audit Security Group Management,4757,Information,Security,Microsoft-Windows-Security-Auditing,A member was removed from a security-enabled universal group.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4733,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit Security Group Management,4758,Information,Security,Microsoft-Windows-Security-Auditing,A security-enabled universal group was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4734,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Account Management,Audit Security Group Management,4764,Information,Security,Microsoft-Windows-Security-Auditing,A group’s type was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4764,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit Security Group Management,4799,Information,Security,Microsoft-Windows-Security-Auditing,A security-enabled local group membership was enumerated.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4799,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,CORTEX,MDE,YAMATO,,
Account Management,Audit User Account Management,4720,Information,Security,Microsoft-Windows-Security-Auditing,A user account was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4720,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,ANSSI
Account Management,Audit User Account Management,4722,Information,Security,Microsoft-Windows-Security-Auditing,A user account was enabled.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4722,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,ANSSI,
Account Management,Audit User Account Management,4723,Information,Security,Microsoft-Windows-Security-Auditing,An attempt was made to change an account's password.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4723,Low,Low,Low,Success and Failure,Success and Failure,Success and Failure,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit User Account Management,4724,Information,Security,Microsoft-Windows-Security-Auditing,An attempt was made to reset an account's password.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4724,Low,Low,Low,Success and Failure,Success and Failure,Success and Failure,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,
Account Management,Audit User Account Management,4725,Information,Security,Microsoft-Windows-Security-Auditing,A user account was disabled.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4725,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,ANSSI,
Account Management,Audit User Account Management,4726,Information,Security,Microsoft-Windows-Security-Auditing,A user account was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4726,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,ANSSI
Account Management,Audit User Account Management,4738,Information,Security,Microsoft-Windows-Security-Auditing,A user account was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4738,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,
Account Management,Audit User Account Management,4740,Information,Security,Microsoft-Windows-Security-Auditing,A user account was locked out.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4740,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,ANSSI,
Account Management,Audit User Account Management,4765,Information,Security,Microsoft-Windows-Security-Auditing,SID History was added to an account.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4765,Low,Low,Low,Success,Success,Success,No,SRV-ETM,CORTEX,YAMATO,,,
Account Management,Audit User Account Management,4766,Information,Security,Microsoft-Windows-Security-Auditing,An attempt to add SID History to an account failed.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4766,Low,Low,Low,Failure,Failure,Failure,No,SRV-ETM,CORTEX,YAMATO,,,
Account Management,Audit User Account Management,4767,Information,Security,Microsoft-Windows-Security-Auditing,A user account was unlocked.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4767,Low,Low,Low,Success,Success,Success,No,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit User Account Management,4780,Information,Security,Microsoft-Windows-Security-Auditing,The ACL was set on accounts which are members of administrators groups.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4780,Low,Low,Low,Success,Success,Success,No,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit User Account Management,4781,Information,Security,Microsoft-Windows-Security-Auditing,The name of an account was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4781,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Account Management,Audit User Account Management,4794,Information,Security,Microsoft-Windows-Security-Auditing,An attempt was made to set the Directory Services Restore Mode administrator password.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4794,Low,Low,Low,Success and Failure,Success and Failure,Success and Failure,No,JSCU-NL,SRV-ETM,YAMATO,,,
Account Management,Audit User Account Management,4798,Information,Security,Microsoft-Windows-Security-Auditing,A user's local group membership was enumerated.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4798,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,MDE,YAMATO,,,
Account Management,Audit User Account Management,5376,Information,Security,Microsoft-Windows-Security-Auditing,Credential Manager credentials were backed up.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5376,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,MDE,YAMATO,,
Account Management,Audit User Account Management,5377,Information,Security,Microsoft-Windows-Security-Auditing,Credential Manager credentials were restored from a backup.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5377,Low,Low,Low,Success,Success,Success,No,JSCU-NL,SRV-ETM,YAMATO,,,
Detailed Tracking,Audit DPAPI Activity,4692,Information,Security,Microsoft-Windows-Security-Auditing,Backup of data protection master key was attempted.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit DPAPI Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4692,Low,Low,Low,,,,No,SRV-ETM,,,,,
Detailed Tracking,Audit DPAPI Activity,4693,Information,Security,Microsoft-Windows-Security-Auditing,Recovery of data protection master key was attempted.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit DPAPI Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4693,Low,Low,Low,,,,No,SRV-ETM,,,,,
Detailed Tracking,Audit DPAPI Activity,4694,Information,Security,Microsoft-Windows-Security-Auditing,Protection of auditable protected data was attempted.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit DPAPI Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4694,Low,Low,Low,,,,No,SRV-ETM,,,,,
Detailed Tracking,Audit DPAPI Activity,4695,Information,Security,Microsoft-Windows-Security-Auditing,Unprotection of auditable protected data was attempted.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit DPAPI Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4695,Low,Low,Low,,,,No,SRV-ETM,,,,,
Detailed Tracking,Audit PNP Activity,6416,Information,Security,Microsoft-Windows-Security-Auditing,A new external device was recognized by the System.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit PNP Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-6416,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,MDE,YAMATO,ANSSI,,
Detailed Tracking,Audit PNP Activity,6419,Information,Security,Microsoft-Windows-Security-Auditing,A request was made to disable a device.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit PNP Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-6419,Low,Low,Low,Success,Success,Success,Yes,,,,,,
